group1,group2,group3,group4,id,x,y,z
1.4907892450713e+16,1.1750933097678e+16,4.2699035272115e+15,1.7369853287441e+16,16.971717171717,16.971717171717,1.625,0
1.4746449635373e+16,1.1756815540273e+16,4.2988148128253e+15,1.7523434419374e+16,17.245454545455,17.245454545455,1.625,0
1.4577310278082e+16,1.176319603063e+16,4.32935112133e+15,1.7684436215119e+16,17.519191919192,17.519191919192,1.625,0
1.4399004822439e+16,1.1770371058737e+16,4.3618846882185e+15,1.7854246868727e+16,17.792929292929,17.792929292929,1.625,0
1.4212180017253e+16,1.1778474956275e+16,4.3963347958832e+15,1.8032219231388e+16,18.066666666667,18.066666666667,1.625,0
1.4015466546921e+16,1.1787161033682e+16,4.4322222919863e+15,1.8216298030481e+16,18.340404040404,18.340404040404,1.625,0
1.3819429889412e+16,1.1794681434744e+16,4.4675872723168e+15,1.8398613332958e+16,18.614141414141,18.614141414141,1.625,0
1.3626897343234e+16,1.1801114589237e+16,4.5023535057005e+15,1.8578574873666e+16,18.887878787879,18.887878787879,1.625,0
1.3437339608494e+16,1.1806686589814e+16,4.5366925545618e+15,1.8756561607713e+16,19.161616161616,19.161616161616,1.625,0
1.3250176388093e+16,1.1811673142263e+16,4.5707668250373e+15,1.8932977098959e+16,19.435353535354,19.435353535354,1.625,0
1.3065021706134e+16,1.1816278844886e+16,4.6047101660851e+15,1.9108084453655e+16,19.709090909091,19.709090909091,1.625,0
1.2881397384844e+16,1.1820710837801e+16,4.6386584237315e+15,1.9282162636655e+16,19.982828282828,19.982828282828,1.625,0
1.2699271045674e+16,1.1825193903194e+16,4.6727905245821e+15,1.9455380990197e+16,20.256565656566,20.256565656566,1.625,0
1.2517597908812e+16,1.1829854854868e+16,4.7070996526557e+15,1.9627786963394e+16,20.530303030303,20.530303030303,1.625,0
1.2338664774047e+16,1.1833708817041e+16,4.7401659937385e+15,1.9795234565532e+16,20.80404040404,20.80404040404,1.625,0
1.2169998273104e+16,1.1836039348812e+16,4.7710120621096e+15,1.9954304539893e+16,21.077777777778,21.077777777778,1.625,0
1.2010773157742e+16,1.1837162979452e+16,4.7998982873875e+15,2.0105679696541e+16,21.351515151515,21.351515151515,1.625,0
1.1860162707288e+16,1.1837314791434e+16,4.8270151483091e+15,2.024982543644e+16,21.625252525253,21.625252525253,1.625,0
1.1718627391666e+16,1.183658878106e+16,4.8523103738972e+15,2.038625831471e+16,21.89898989899,21.89898989899,1.625,0
1.158563933323e+16,1.1835161773881e+16,4.8759133324852e+15,2.051527181288e+16,22.172727272727,22.172727272727,1.625,0
1.1461333028509e+16,1.1833142125479e+16,4.8978362748693e+15,2.0636693588082e+16,22.446464646465,22.446464646465,1.625,0
1.1345807773816e+16,1.1830627772979e+16,4.9180561201979e+15,2.0750182270532e+16,22.720202020202,22.720202020202,1.625,0
1.1236979581337e+16,1.1827881833456e+16,4.9369995341449e+15,2.0857397823889e+16,22.993939393939,22.993939393939,1.625,0
1.1133362141016e+16,1.1825234359911e+16,4.9550866564298e+15,2.0959947739189e+16,23.267676767677,23.267676767677,1.625,0
1.1035307352755e+16,1.1822825251188e+16,4.9723243390479e+15,2.1057602734348e+16,23.541414141414,23.541414141414,1.625,0
1.0942194652946e+16,1.1820705956136e+16,4.9887943305796e+15,2.1150672859125e+16,23.815151515152,23.815151515152,1.625,0
1.0853979187398e+16,1.181895234099e+16,5.004543061121e+15,2.1239244413944e+16,24.088888888889,24.088888888889,1.625,0
1.0770601400044e+16,1.1817639543715e+16,5.0196105023851e+15,2.1323373239357e+16,24.362626262626,24.362626262626,1.625,0
1.0692122154291e+16,1.1816864256368e+16,5.0340114203924e+15,2.140294055106e+16,24.636363636364,24.636363636364,1.625,0
1.0618718279415e+16,1.1816738754258e+16,5.0477966532597e+15,2.1477994656054e+16,24.910101010101,24.910101010101,1.625,0
1.0550430668889e+16,1.1817248185981e+16,5.0608938733291e+15,2.1548242937802e+16,25.183838383838,25.183838383838,1.625,0
1.0489638290516e+16,1.1817759139093e+16,5.072614069779e+15,2.1611225722434e+16,25.457575757576,25.457575757576,1.625,0
1.0438168299821e+16,1.1818051495623e+16,5.0826303450743e+15,2.1665351320121e+16,25.731313131313,25.731313131313,1.625,0
1.0396524098876e+16,1.1818191872548e+16,5.0908007466317e+15,2.1709708707443e+16,26.005050505051,26.005050505051,1.625,0
1.03638013343e+16,1.1818247965426e+16,5.0972603077777e+15,2.1744894676661e+16,26.278787878788,26.278787878788,1.625,0
1.0340453939753e+16,1.1818256603681e+16,5.1018911813093e+15,2.1770187389738e+16,26.552525252525,26.552525252525,1.625,0
1.0326721172103e+16,1.1818249833774e+16,5.1046230505654e+15,2.1785133906255e+16,26.826262626263,26.826262626263,1.625,0
1.0321640082546e+16,1.1818245150016e+16,5.1056354043971e+15,2.179067741109e+16,27.1,27.1,1.625,0
